datetime,events,distance(KM)
20180524111923,0,-1
20180524111924,0,-1
20180524111925,0,-1
20180524111926,0,-1
20180524111927,0,-1
20180524111928,0,-1
20180524111929,0,-1
20180524111930,0,-1
20180524111931,0,-1
20180524111932,0,-1
20180524111933,0,-1
20180524111934,0,-1
20180524111935,0,-1
20180524111936,0,-1
20180524111937,0,-1
20180524111938,0,-1
20180524111939,0,-1
20180524111940,0,-1
20180524111941,0,-1
20180524111942,0,-1
20180524111944,0,-1
20180524111945,0,-1
20180524111946,0,-1
20180524111947,0,-1
20180524111948,0,-1
20180524111949,0,-1
20180524111950,0,-1
20180524111951,0,-1
20180524111952,0,-1
20180524111953,0,-1
20180524111954,0,-1
20180524111955,0,-1
20180524111956,0,-1
20180524111957,0,-1
20180524111958,0,-1
20180524111959,0,-1
20180524112000,0,-1
20180524112001,0,-1
20180524112002,0,-1
20180524112003,0,-1
20180524112004,0,-1
20180524112005,0,-1
20180524112007,0,-1
20180524112008,0,-1
20180524112009,0,-1
20180524112010,0,-1
20180524112011,0,-1
20180524112012,0,-1
20180524112013,0,-1
20180524112014,0,-1
20180524112015,0,-1
20180524112016,0,-1
20180524112017,0,-1
20180524112018,0,-1
20180524112019,0,-1
20180524112020,0,-1
20180524112021,0,-1
20180524112022,0,-1
20180524112023,0,-1
20180524112024,0,-1
20180524112025,0,-1
20180524112026,0,-1
20180524112027,0,-1
20180524112029,0,-1
20180524112030,0,-1
20180524112031,0,-1
20180524112032,0,-1
20180524112033,0,-1
20180524112034,0,-1
20180524112035,0,-1
20180524112036,0,-1
20180524112037,0,-1
20180524112038,0,-1
20180524112039,0,-1
20180524112040,0,-1
20180524112041,0,-1
20180524112042,0,-1
20180524112043,0,-1
20180524112044,0,-1
20180524112045,0,-1
20180524112046,0,-1
20180524112047,0,-1
20180524112048,0,-1
20180524112049,0,-1
20180524112050,0,-1
20180524112052,0,-1
20180524112053,0,-1
20180524112054,0,-1
20180524112055,0,-1
20180524112056,0,-1
20180524112057,0,-1
20180524112058,0,-1
20180524112059,0,-1
20180524112100,0,-1
20180524112101,0,-1
20180524112102,0,-1
20180524112103,0,-1
20180524112104,0,-1
20180524112105,0,-1
20180524112106,0,-1
20180524112107,0,-1
20180524112108,0,-1
20180524112109,0,-1
20180524112110,0,-1
20180524112111,0,-1
20180524112112,0,-1
20180524112114,0,-1
20180524112115,0,-1
20180524112116,0,-1
20180524112117,0,-1
20180524112118,0,-1
20180524112119,0,-1
20180524112120,0,-1
20180524112121,0,-1
20180524112122,0,-1
20180524112123,0,-1
20180524112124,0,-1
20180524112125,0,-1
20180524112126,0,-1
20180524112127,0,-1
20180524112129,0,-1
20180524112130,0,-1
20180524112131,0,-1
20180524112132,0,-1
20180524112133,0,-1
20180524112134,0,-1
20180524112135,0,-1
20180524112136,0,-1
20180524112137,0,-1
20180524112138,0,-1
20180524112139,0,-1
20180524112140,0,-1
20180524112141,0,-1
20180524112142,0,-1
20180524112143,0,-1
20180524112144,0,-1
20180524112145,0,-1
20180524112146,0,-1
20180524112148,0,-1
20180524112149,0,-1
20180524112150,0,-1
20180524112151,0,-1
20180524112152,0,-1
20180524112153,0,-1
20180524112154,0,-1
20180524112155,0,-1
20180524112156,0,-1
20180524112157,0,-1
20180524112158,0,-1
20180524112159,0,-1
20180524112200,0,-1
20180524112201,0,-1
20180524112202,0,-1
20180524112203,0,-1
